"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 29 13:15:23 CST 2022","Fri Jul 29 13:15:36 CST 2022","13322","TestCases","test_ctrip","TestCtrip","","","test_04_change_button",""
"passed","Fri Jul 29 13:14:22 CST 2022","Fri Jul 29 13:14:37 CST 2022","15038","TestCases","test_ctrip","TestCtrip","","","test_02_Select_time",""
"passed","Fri Jul 29 13:16:20 CST 2022","Fri Jul 29 13:16:40 CST 2022","20732","TestCases","test_ctrip","TestCtrip","","","test_06_retun_Select_time",""
"passed","Fri Jul 29 13:14:48 CST 2022","Fri Jul 29 13:15:12 CST 2022","23730","TestCases","test_ctrip","TestCtrip","","","test_03_Ticket_inquiry",""
"passed","Fri Jul 29 13:17:32 CST 2022","Fri Jul 29 13:17:45 CST 2022","13699","TestCases","test_ctrip","TestCtrip","","","test_08_retun_change_button",""
"passed","Fri Jul 29 13:17:57 CST 2022","Fri Jul 29 13:18:13 CST 2022","16302","TestCases","test_ctrip","TestCtrip","","","test_09_OneWay_retun_switch",""
"passed","Fri Jul 29 13:16:52 CST 2022","Fri Jul 29 13:17:20 CST 2022","28697","TestCases","test_ctrip","TestCtrip","","","test_07_retun_Ticket_inquiry",""
"passed","Fri Jul 29 13:13:50 CST 2022","Fri Jul 29 13:14:11 CST 2022","20718","TestCases","test_ctrip","TestCtrip","","","test_01_Select_city",""
"passed","Fri Jul 29 13:15:47 CST 2022","Fri Jul 29 13:16:08 CST 2022","21258","TestCases","test_ctrip","TestCtrip","","","test_05_retun_Select_city",""
"passed","Fri Jul 29 13:18:25 CST 2022","Fri Jul 29 13:18:42 CST 2022","16714","TestCases","test_ctrip","TestCtrip","","","test_10_Tick_button",""
